Gene	S1	S2	S3	S4	S5	S6	S7	S8	S9
G5308	1769.802792	1667.105668	1771.910111	2315.403707	2144.077784	1722.975755	2083.764633	1841.179827	2165.38443
G5309	84.64758476	92.94657937	82.26338938	104.3344055	90.53027523	124.4894444	91.90042235	118.3692466	133.2880426
G5310	11792.7451	11259.39042	11437.85836	5498.742097	4618.18999	4756.75213	5018.382614	5007.019132	4322.02866
G5311	233.8946421	307.5147466	256.5318853	56.0398772	53.859784	47.0758403	48.53168371	43.0433624	40.42342276
G5312	103.5819129	89.98019918	93.08751957	57.86231223	50.42192545	63.81391685	37.17320454	26.9021015	43.70099758
G5313	846.4758476	918.5890663	968.7596513	1275.704522	1009.584462	1007.422982	1042.914905	992.1495034	1041.176267
G5314	13270.73648	12533.94511	10335.96191	5049.056253	5388.270306	5241.11022	6327.705485	6671.721173	5282.358082
G5315	891.027208	1189.518457	994.7375637	266.5311233	272.7367785	245.8404993	214.7785151	208.7603077	231.6152872
G5316	3622.025601	3658.535571	3739.736978	4762.478345	4091.051678	4305.870193	4415.350629	4333.39051	4327.491285
G5317	28194.32843	31646.33269	34426.14604	59298.39104	58082.62026	53350.52675	58802.84664	60629.8042	58078.62578
G5318	28532.91877	31993.39917	33997.51049	36559.86916	41566.00181	37702.51743	40511.56483	38363.47283	38116.01009
G5319	2743.250017	2940.671564	2738.504936	2555.965131	2239.191871	2438.528528	2318.162339	2429.797808	2057.224461
G5320	541.2990289	536.9148149	553.1130523	540.8075954	576.4142841	581.6481602	553.4677121	582.1614765	583.4083177
G5321	1212.910787	1204.350358	1165.758821	1593.719435	1527.55515	1486.550424	1515.840674	1604.441334	1702.153856
G5322	2396.86319	2231.706698	2384.555879	1421.499324	1733.826664	1943.70914	1553.013879	1839.027659	1497.851692
G5323	1127.149418	1189.518457	1301.060448	2002.40049	1611.209709	1546.179821	1333.072419	1368.778924	1419.189896
G5324	351.9557472	369.8087307	358.278709	278.8325597	386.1861108	323.2541034	344.8847311	324.9773861	292.7966838
G5325	5076.627518	5207.974825	5405.570613	4757.466648	4366.080362	4346.669254	4425.676519	4397.955554	4351.526834
G5326	43.43757639	43.50690949	43.29652073	65.60766112	35.52453838	58.58326793	36.14061553	54.88028706	76.47674576
G5327	596.9882294	562.6234432	550.9482263	491.6018496	388.4780165	379.7451118	472.9257689	492.8464995	398.7716029
G5328	1828.833344	2042.847159	1905.046912	1797.376549	1692.572361	1815.035176	1756.433915	1835.799407	1795.018476
G5329	1926.846337	1873.763488	1817.371458	2232.027304	1856.443619	1887.218131	1981.53832	1968.157746	1999.320639
G5330	419.8965718	368.8199373	388.5862735	291.589605	264.7151086	244.7943696	310.8092936	263.6405947	225.0601375
G5331	1413.391909	1379.36679	1356.263512	3258.969444	3100.948415	3454.320548	2607.287263	2586.90608	2533.565335
G5332	422.1241398	448.9122025	482.7562061	541.718813	438.8999419	411.1290053	404.7748939	460.5639777	451.2128
