GeneID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24
ENSMUSG00000090025	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951	0	0	0	184	10	0	0	0	1	0	1	21	14	0	100	15	0	0	0	0	0	1	15	39
ENSMUSG00000089699	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025900	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	9	0	0	7	0	0	0	12
ENSMUSG00000025902	4	2	1	4	0	33	12	0	37	1	9	87	5	0	20	1	25	33	0	44	5	40	131	66
ENSMUSG00000064376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000033845	119	116	98	76	94	109	42	50	37	31	113	83	133	26	56	103	186	101	71	57	62	131	116	433
ENSMUSG00000025903	2374	3599	1582	853	4058	834	2739	582	160	131	501	2665	2360	197	798	3973	1384	5635	401	322	474	1766	3281	3438
ENSMUSG00000033813	239	236	130	662	629	188	292	69	107	23	252	676	677	33	481	726	234	567	60	167	77	675	757	850
ENSMUSG00000062588	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8	0	0	0	0	0	0	0	0
ENSMUSG00000002459	2	1	0	162	0	0	0	0	7	0	0	2	52	0	79	7	7	0	0	1	0	0	5	78
ENSMUSG00000085623	6	10	1	5	14	0	11	1	2	3	7	16	51	1	5	22	17	15	3	4	4	9	16	145
ENSMUSG00000033793	172	159	110	1197	479	114	358	42	69	9	371	664	393	22	877	391	244	771	43	163	22	727	1094	805
ENSMUSG00000025905	0	0	0	49	17	0	0	0	0	0	0	0	0	0	33	19	0	0	0	0	0	0	0	0
ENSMUSG00000033774	0	0	0	8	0	0	0	0	0	0	0	0	9	0	3	0	0	0	0	1	0	0	0	46
ENSMUSG00000025907	171	235	84	655	1122	255	248	44	93	52	128	509	1491	11	441	1323	429	525	20	136	108	524	791	2824
ENSMUSG00000090031	1	0	0	1	1	2	0	0	2	0	0	0	2	0	0	0	0	1	0	1	1	2	5	4
ENSMUSG00000087247	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000033740	0	0	0	123	4	0	0	0	1	0	1	0	6	0	145	10	2	0	0	2	0	0	6	3
ENSMUSG00000051285	1168	1793	711	2085	2074	783	738	295	186	83	306	2939	2960	63	1929	2113	1259	1443	137	353	295	2091	3956	4892
ENSMUSG00000048538	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086461	0	2	0	5	1	2	0	1	4	0	1	2	5	0	1	1	2	1	0	1	1	8	4	6
ENSMUSG00000025909	1	0	0	91	2	0	3	1	0	0	0	76	1	0	80	7	1	2	1	9	0	6	10	27
ENSMUSG00000066693	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000061024	23	52	27	97	85	63	47	28	18	13	249	143	261	3	57	94	94	123	5	45	34	394	128	402
ENSMUSG00000025911	227	279	147	76	14	168	438	110	23	23	60	839	141	28	46	12	286	992	70	58	79	109	1143	398
ENSMUSG00000079671	0	1	0	0	1	6	6	2	2	1	4	12	13	0	0	0	7	2	0	2	1	5	29	31
ENSMUSG00000067879	0	1	0	1305	3	1	4	1	1	0	0	0	0	0	814	4	1	2	0	0	0	2	0	0
ENSMUSG00000025912	4	14	0	48	13	3	9	0	4	0	3	6	23	0	19	17	3	9	1	7	0	18	9	81
ENSMUSG00000045210	214	249	160	869	967	152	159	61	54	7	182	739	727	13	570	946	270	360	24	88	41	824	776	940
ENSMUSG00000085661	3	1	3	0	4	1	5	3	6	2	0	3	7	1	0	5	3	6	1	8	0	7	4	12
ENSMUSG00000025915	34	47	25	70	45	52	88	10	21	2	44	186	301	4	80	81	86	158	6	68	9	119	228	662
ENSMUSG00000046101	0	13	0	21	13	2	1	2	4	0	7	10	32	1	25	34	9	5	2	4	4	43	14	68
ENSMUSG00000093178	0	0	0	0	0	0	2	0	1	0	5	1	1	0	0	0	0	0	0	1	0	5	1	6
ENSMUSG00000073738	21	19	0	0	2	0	14	5	0	0	0	12	19	0	0	15	0	70	0	2	0	13	11	1
ENSMUSG00000025916	0	1	6	7	0	0	0	0	3	0	0	0	0	0	2	0	4	4	0	6	0	2	0	6
ENSMUSG00000087199	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025917	199	205	145	427	429	218	135	76	81	85	238	397	995	32	286	550	464	335	56	115	203	485	915	2219
ENSMUSG00000056763	74	48	36	86	200	23	71	21	40	2	56	107	225	8	62	270	42	204	9	52	12	137	111	382
ENSMUSG00000067851	119	225	91	382	1432	164	264	15	90	16	138	500	810	20	246	2081	334	609	15	141	48	563	474	1532
ENSMUSG00000088153	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042501	50	39	25	32	73	35	18	6	16	1	12	90	188	3	28	142	52	49	4	16	7	82	87	511
ENSMUSG00000083422	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3
ENSMUSG00000048960	32	26	14	203	109	65	30	8	106	2	21	406	147	5	170	82	119	100	6	195	11	92	488	321
ENSMUSG00000057715	3	0	0	501	3	1	1	0	7	1	5	0	0	0	395	25	3	2	0	12	0	8	3	26
ENSMUSG00000066918	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	1	1	1
ENSMUSG00000016918	3	1	4	56	42	28	6	1	23	0	22	418	81	0	51	65	86	16	5	111	3	61	156	131
ENSMUSG00000025938	0	0	0	18	1	31	0	0	10	9	1	8	145	0	8	14	52	1	0	3	23	7	9	282
ENSMUSG00000042414	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0
ENSMUSG00000005886	93	66	59	244	397	55	113	31	63	8	83	346	511	8	246	520	109	259	14	81	24	196	330	754
ENSMUSG00000087782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000025935	2651	2173	1010	710	2439	431	1131	426	183	11	457	2633	1271	56	556	2446	463	2375	155	547	63	3432	3338	1721
ENSMUSG00000025937	1280	1606	789	132	411	184	1662	322	39	12	76	429	306	89	89	334	242	3993	210	104	38	367	863	682
ENSMUSG00000067813	225	399	108	0	153	0	0	32	0	0	1	0	44	13	0	78	0	2	16	0	0	0	0	35
ENSMUSG00000089358	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025932	0	0	0	38	9	1	0	0	7	19	17	13	123	0	44	4	8	0	0	8	42	8	46	183
ENSMUSG00000025930	1	1	0	3	0	2	0	1	0	0	10	14	5	0	1	1	5	0	0	2	0	6	16	5
ENSMUSG00000054493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3
ENSMUSG00000081201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000082193	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	5	1	1	0	0	0	0	4
ENSMUSG00000032769	0	0	0	4	6	0	0	0	0	0	2	0	0	0	5	11	1	0	0	0	0	0	0	11
ENSMUSG00000092083	0	0	0	16	4	0	0	0	0	0	0	0	0	0	14	3	0	0	0	0	0	1	0	0
ENSMUSG00000090498	0	0	1	41	0	1	0	0	1	0	0	2	10	0	18	28	0	4	0	1	0	4	1	4
ENSMUSG00000025925	42	32	28	89	92	10	31	11	19	1	30	70	179	3	45	149	50	69	4	36	4	92	123	316
ENSMUSG00000032719	0	0	0	13	21	2	13	0	11	0	2	0	61	0	1	16	0	33	0	9	0	10	0	44
ENSMUSG00000067795	1	1	1	3	13	10	5	0	4	0	0	6	33	0	0	13	11	5	0	3	0	6	7	87
ENSMUSG00000043716	149	156	156	222	853	229	127	76	329	57	737	547	1103	50	122	1017	315	384	86	381	98	734	676	2974
ENSMUSG00000025921	457	825	235	150	681	41	242	78	54	3	81	415	329	17	104	974	60	615	63	81	18	298	484	629
ENSMUSG00000025920	19	10	12	379	161	87	36	0	14	25	41	62	243	1	259	214	216	101	4	15	77	117	83	519
ENSMUSG00000089982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000025939	327	437	242	1291	1076	157	407	71	105	9	257	1910	705	25	960	907	398	787	47	183	41	1566	2526	1103
ENSMUSG00000079658	148	187	100	799	752	272	240	60	82	50	251	588	747	17	755	501	560	368	31	140	109	837	772	1539
ENSMUSG00000087414	1	0	0	2	0	0	0	1	1	0	1	1	1	0	0	3	0	0	0	0	0	1	4	1
ENSMUSG00000025940	267	364	180	508	546	596	291	96	61	56	212	734	875	33	238	479	1204	759	58	108	143	654	934	1528
ENSMUSG00000025779	40	27	16	10	246	37	40	7	12	0	78	166	68	3	5	128	83	124	3	28	0	162	190	254
ENSMUSG00000091020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000042686	0	0	0	2	1	0	0	0	1	7	3	2	18	0	0	0	3	0	0	0	22	2	2	26
ENSMUSG00000025777	0	0	0	1039	68	2	0	0	0	14	0	2	85	0	955	47	1	0	0	0	54	15	5	108
ENSMUSG00000067780	1	0	1	4	62	29	4	0	13	0	5	36	414	0	1	31	30	20	0	16	2	32	56	234
ENSMUSG00000085125	0	0	0	3	3	1	0	0	1	0	2	2	1	0	1	0	2	20	0	1	2	4	0	26
ENSMUSG00000025776	0	0	0	45	3	16	5	0	4	1	10	73	133	0	33	24	19	16	0	11	3	100	13	65
ENSMUSG00000025774	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12
ENSMUSG00000089787	0	0	0	1	0	0	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	4	2	32
ENSMUSG00000042596	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000060128	2	14	9	29	12	12	12	5	20	6	63	27	31	3	5	7	21	18	9	29	13	61	37	60
ENSMUSG00000025927	0	0	0	17	0	0	66	0	0	0	0	1	183	0	7	1	6	174	0	0	1	1	1	725
ENSMUSG00000043760	35	26	20	0	12	1	274	20	1	1	0	3	1	2	0	3	2	761	10	3	0	0	6	2
ENSMUSG00000090142	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000070175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000041872	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
ENSMUSG00000041859	1	5	4	7	41	9	0	1	14	3	64	39	45	0	3	27	14	9	1	42	3	67	60	43
ENSMUSG00000087078	0	0	0	8	3	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0
ENSMUSG00000025931	1	4	0	666	151	12	6	0	40	1	54	22	74	0	549	143	7	7	0	40	2	94	32	200
ENSMUSG00000077314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
ENSMUSG00000041809	0	0	0	3	0	0	1	0	28	0	3	8	4	0	4	2	1	1	0	37	0	9	10	18
ENSMUSG00000041779	18	18	31	5	4	21	6	11	21	3	62	51	34	8	3	21	18	11	15	57	4	76	96	65
ENSMUSG00000025933	14	22	12	248	56	23	14	4	17	2	27	164	34	2	176	61	50	45	1	22	1	131	181	56
ENSMUSG00000025934	1810	1828	1130	2	38	20	74	800	178	0	74	625	12	237	3	7	29	218	542	234	1	31	379	132
ENSMUSG00000025936	7	0	0	0	66	19	54	2	87	0	4	30	1	0	0	2	19	61	0	148	0	24	15	30
ENSMUSG00000067750	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0
ENSMUSG00000085507	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085079	0	0	0	0	0	0	10	0	0	0	3	0	7	0	0	0	0	5	0	0	0	27	0	0
ENSMUSG00000028033	2	0	1	138	8	6	1	0	7	9	4	9	253	0	106	24	1	13	0	7	34	19	5	156
ENSMUSG00000082935	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	2	8
ENSMUSG00000085163	0	0	0	2	2	1	0	0	5	4	2	3	42	0	1	4	0	1	0	0	4	6	7	19
ENSMUSG00000041670	0	0	0	358	497	0	1	0	0	0	1	1	10	0	241	528	0	0	0	0	3	7	1	10
ENSMUSG00000073730	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	4
ENSMUSG00000065567	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000026158	15	17	24	381	32	47	19	3	15	3	11	37	119	0	303	80	31	62	3	30	1	22	54	263
ENSMUSG00000026156	1	3	0	40	58	0	86	2	3	0	0	9	40	1	59	38	1	140	0	3	0	4	24	37
ENSMUSG00000026155	32	28	13	129	254	14	51	9	22	2	41	123	198	4	76	266	34	76	5	41	8	96	222	461
ENSMUSG00000026154	43	44	27	88	105	110	55	21	17	16	68	197	159	9	36	76	262	107	11	48	26	155	220	640
ENSMUSG00000026153	58	77	38	114	486	46	53	7	40	14	59	151	349	9	136	563	80	122	13	42	32	175	125	825
ENSMUSG00000026147	0	0	0	19	0	0	0	0	2	3	0	0	0	0	2	1	0	0	0	0	0	0	0	6
ENSMUSG00000026141	0	0	0	33	0	0	0	0	1	0	0	0	5	0	26	0	0	0	0	1	5	1	2	7
ENSMUSG00000067736	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	1
ENSMUSG00000090378	3364	4248	1246	2642	3276	7847	2447	535	120	163	362	4002	5863	79	2569	4194	15045	7676	127	453	829	3329	3233	11732
ENSMUSG00000073725	158	239	130	724	390	117	142	63	101	35	217	378	276	29	506	449	193	388	62	165	71	415	451	537
ENSMUSG00000033569	0	0	0	328	28	1	1	0	0	0	0	0	2	0	154	23	0	12	0	0	0	0	0	23
ENSMUSG00000079640	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	4
ENSMUSG00000081557	2	1	1	0	0	1	1	1	1	0	1	4	3	0	0	3	0	10	1	2	0	2	7	4
ENSMUSG00000090766	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	2
ENSMUSG00000053185	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048874	40	26	20	104	72	27	37	6	35	6	57	106	159	2	43	111	40	93	4	53	14	97	152	339
ENSMUSG00000026064	2443	3927	1494	2502	7150	2496	778	729	438	169	956	11601	3465	189	1981	8451	4571	1730	347	994	638	3182	13749	5526
ENSMUSG00000086726	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1
ENSMUSG00000087346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	9	0
ENSMUSG00000086727	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000026058	0	0	0	40	0	0	0	0	0	0	0	0	0	0	58	2	0	0	0	0	0	2	0	0
ENSMUSG00000064688	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091318	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000089395	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026134	5	4	3	12	20	0	2	1	5	0	13	17	13	0	11	8	1	7	1	6	0	21	18	11
ENSMUSG00000044744	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0
ENSMUSG00000004768	5	6	8	58	64	12	10	3	19	2	37	63	50	0	41	91	25	36	4	29	3	35	49	105
ENSMUSG00000042215	16	9	9	45	151	164	51	6	49	15	65	37	111	2	33	228	256	121	0	29	53	105	69	296
ENSMUSG00000042197	68	101	39	578	314	55	77	37	66	6	122	320	703	5	438	295	94	198	13	67	19	413	305	698
ENSMUSG00000081402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000042182	1	4	0	1048	1	7	0	0	3	0	2	25	24	0	642	11	19	0	0	4	0	17	7	7
ENSMUSG00000026131	65	89	52	401	356	236	109	30	94	72	93	888	984	8	255	570	444	405	12	105	143	273	1409	2316
ENSMUSG00000085306	0	0	0	0	6	2	1	0	0	0	0	11	103	0	1	19	0	0	0	0	0	4	0	263
ENSMUSG00000042111	20	17	25	56	42	42	18	13	45	7	91	64	80	7	50	38	46	51	20	65	36	105	90	169
ENSMUSG00000026127	43	25	37	28	45	24	28	18	39	2	103	95	53	9	27	28	23	89	42	57	11	135	147	86
ENSMUSG00000026126	2	5	1	3	90	9	12	0	36	1	29	34	20	0	5	75	11	29	3	61	1	36	79	27
ENSMUSG00000026124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000045174	0	0	0	50	1	1	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	1	0	0
ENSMUSG00000089955	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000037509	1	0	2	306	2	2	2	0	20	0	18	10	40	0	200	9	3	2	2	8	0	25	14	116
ENSMUSG00000037503	26	29	37	254	168	36	30	18	79	4	152	183	241	4	183	242	43	83	11	91	16	170	179	397
ENSMUSG00000026123	29	22	30	773	1364	235	210	14	196	66	197	285	256	5	686	1819	323	589	16	307	144	260	348	480
ENSMUSG00000045216	28	31	27	23	56	11	18	25	13	5	48	28	55	8	13	74	11	73	10	23	7	64	46	76
ENSMUSG00000037470	45	27	29	63	92	30	15	28	43	19	138	127	108	14	37	131	45	88	30	94	53	138	179	240
ENSMUSG00000047180	10	10	18	6	329	12	25	7	19	0	46	63	36	1	7	501	7	22	3	51	1	62	102	90
ENSMUSG00000037447	2	2	1	11	7	12	2	2	29	2	21	29	31	0	16	14	7	5	1	42	11	34	39	71
ENSMUSG00000010453	30	20	35	75	93	49	36	16	50	23	116	122	83	9	67	84	71	92	18	58	45	135	201	190
ENSMUSG00000037432	2	1	2	7	3	5	4	0	2	2	4	3	10	0	1	4	2	4	1	9	1	3	2	7
ENSMUSG00000001143	23	16	22	55	25	35	32	8	45	13	80	114	68	6	39	39	47	68	19	47	33	76	97	126
ENSMUSG00000037408	10	5	4	24	1055	11	26	3	26	9	22	15	53	1	22	1177	21	91	10	21	10	35	33	82
ENSMUSG00000001138	2	10	7	13	21	4	8	5	11	5	23	56	81	5	11	50	16	23	3	26	4	31	53	179
ENSMUSG00000067653	6	0	0	3	0	506	3	1	23	2286	150	20	1205	3	2	3	609	16	3	27	3688	134	67	1636
ENSMUSG00000079610	15	13	20	52	27	22	21	5	18	7	55	74	83	0	23	37	38	41	8	20	16	69	187	130
ENSMUSG00000026121	1	0	0	14	4	4	2	0	14	2	18	18	21	0	5	4	17	10	0	3	1	31	49	23
ENSMUSG00000087589	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0
ENSMUSG00000046337	0	0	0	0	0	0	0	0	5	0	1	4	5	0	0	4	0	0	0	4	0	1	6	9
ENSMUSG00000089906	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0
ENSMUSG00000061518	158	183	188	327	608	1182	243	116	164	154	392	400	462	64	237	649	1857	642	114	245	284	443	545	981
ENSMUSG00000037351	48	62	58	286	150	101	56	36	64	54	176	179	153	13	240	219	113	198	41	117	112	237	201	299
ENSMUSG00000026117	35	28	28	1	1	0	0	30	10	0	10	3	4	9	0	1	0	2	27	28	0	34	19	4
ENSMUSG00000026116	20	13	12	46	125	25	14	7	22	4	41	80	99	1	37	226	30	38	3	32	6	90	155	230
ENSMUSG00000080054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	1
ENSMUSG00000070201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000050122	0	2	1	1	1	0	0	0	6	0	0	0	0	2	0	3	0	0	0	3	0	0	0	0
ENSMUSG00000026115	0	0	0	0	0	0	0	0	4	2	0	0	2	0	0	0	0	0	0	6	2	1	0	13
ENSMUSG00000026114	0	0	0	0	1	10	0	0	0	2	0	0	0	0	1	3	10	1	1	2	2	1	1	15
ENSMUSG00000026113	19	25	22	408	76	60	14	8	67	19	77	107	115	3	417	132	109	42	13	86	34	112	126	307
ENSMUSG00000086064	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000026112	257	326	164	454	726	441	328	130	167	101	345	1044	790	52	306	865	934	717	116	212	238	553	1334	1437
ENSMUSG00000026111	107	189	72	298	439	76	91	48	114	8	242	462	319	23	185	424	154	296	29	160	34	468	614	714
ENSMUSG00000026110	1	2	2	142	3207	43	75	2	20	2	28	143	175	0	96	3976	61	225	0	57	8	49	230	284
ENSMUSG00000087233	0	0	0	0	59	1	3	0	0	0	1	6	11	0	0	86	8	2	0	0	0	2	8	18
ENSMUSG00000026090	0	0	0	88	27	3	0	0	20	0	1	7	3	0	63	33	7	0	0	20	0	6	1	22
ENSMUSG00000060771	3	13	7	141	42	34	48	3	27	8	18	122	182	4	105	55	69	67	1	42	26	87	94	162
ENSMUSG00000092106	0	0	0	3	0	0	0	0	1	0	0	0	0	0	19	1	1	0	0	0	0	1	1	4
ENSMUSG00000037216	14	5	7	7	11	9	2	2	1	2	13	28	17	2	5	12	17	17	7	3	4	25	31	49
ENSMUSG00000026088	34	47	21	75	183	14	22	11	18	0	49	127	105	3	33	190	33	50	10	46	1	146	127	348
ENSMUSG00000026087	64	81	55	167	117	349	83	39	46	49	183	247	253	17	117	143	583	196	31	85	103	178	418	695
ENSMUSG00000061584	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087374	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0
ENSMUSG00000058407	218	168	64	365	659	176	151	38	61	13	163	337	601	14	174	514	432	385	33	86	40	410	655	1389
ENSMUSG00000026083	89	77	47	182	276	113	80	21	111	37	141	281	511	6	98	317	263	189	24	122	88	258	332	1165
ENSMUSG00000026082	6	2	10	35	9	4	3	1	3	0	14	22	37	0	11	48	19	28	0	12	8	31	33	113
ENSMUSG00000037138	2	0	0	109	9	20	2	0	27	2	10	69	312	0	59	14	17	9	2	30	2	41	72	879
ENSMUSG00000085391	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	5
ENSMUSG00000085280	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	3	0	0	0	1	0	0	0	4
ENSMUSG00000087131	1	0	0	0	0	0	0	0	7	0	2	13	1	0	0	4	0	1	0	5	0	6	7	0
ENSMUSG00000048814	1	0	0	246	7	11	0	0	2	0	0	14	6	0	141	12	17	2	0	4	0	4	9	16
ENSMUSG00000026080	0	0	0	110	3	1	0	0	1	0	7	2	2	0	79	2	2	2	0	6	0	15	4	2
ENSMUSG00000067604	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026078	34	50	28	92	550	173	88	9	84	25	160	287	437	4	107	416	169	177	12	95	50	375	453	1041
ENSMUSG00000026077	11	18	10	40	80	6	11	6	26	0	14	23	45	3	49	92	15	51	4	22	0	20	41	144
ENSMUSG00000092563	0	0	0	0	0	0	0	0	1	0	0	4	2	0	0	2	0	1	0	0	0	0	1	8
ENSMUSG00000073702	31	33	25	67	137	59	25	22	111	13	247	106	234	13	54	153	85	81	18	122	26	197	158	498
ENSMUSG00000003134	23	28	22	57	41	14	10	11	43	4	95	27	78	3	32	45	18	13	9	44	21	422	38	182
ENSMUSG00000003135	8	5	7	24	48	14	14	5	18	5	8	40	68	3	25	85	33	49	3	11	4	24	50	161
ENSMUSG00000085894	0	0	2	0	0	3	0	0	1	0	3	2	5	0	1	6	0	3	0	0	1	3	3	7
ENSMUSG00000077704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000048234	63	89	38	34	143	2	33	18	14	1	46	32	65	9	19	126	10	56	10	32	2	83	82	116
ENSMUSG00000064936	0	0	0	0	5	0	0	0	0	0	1	1	16	0	0	6	0	0	0	1	1	0	5	30
ENSMUSG00000050967	0	0	0	186	20	0	0	0	0	0	7	2	3	0	196	1	1	15	0	1	0	2	8	3
ENSMUSG00000090677	1	2	2	11	0	1	0	1	3	1	5	0	1	2	3	0	1	0	0	0	1	1	0	2
ENSMUSG00000057173	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0
ENSMUSG00000091937	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ENSMUSG00000026074	5	5	5	14	6	14	3	5	37	0	42	79	84	1	12	19	32	7	3	36	1	59	79	153
ENSMUSG00000086705	0	0	0	4	1	0	0	0	1	1	0	2	6	0	3	1	1	0	0	1	1	2	3	13
ENSMUSG00000026073	0	0	0	0	0	1	0	0	37	0	4	3	102	0	0	1	0	4	0	6	0	3	5	236
ENSMUSG00000026072	23	35	13	20	50	40	8	8	43	3	123	89	97	6	8	72	46	30	15	63	3	144	170	264
ENSMUSG00000070942	0	0	0	0	3	1	0	0	2	0	12	15	30	0	0	3	0	4	0	3	0	10	6	72
ENSMUSG00000026069	0	0	0	3	7	0	0	0	7	0	21	19	5	0	0	7	2	6	0	8	0	8	42	32
ENSMUSG00000026070	1	1	0	0	0	1	2	0	59	0	6	4	48	0	0	3	1	4	0	104	0	6	7	114
ENSMUSG00000026068	0	5	0	0	6	12	1	1	3	0	9	1	2	0	3	11	1	4	1	11	0	6	34	3
ENSMUSG00000026065	0	0	0	4	0	2	1	0	5	0	5	12	6	0	5	0	11	14	0	16	0	2	17	1
ENSMUSG00000026062	0	0	1	5	478	4	28	0	9	6	4	0	26	0	1	680	6	72	0	5	32	1	0	29
ENSMUSG00000041945	2	18	11	15	101	1	45	0	9	0	18	38	13	1	17	230	7	107	4	24	1	32	46	76
ENSMUSG00000079588	0	1	0	2	13	558	3	0	27	165	6	550	1226	1	0	14	815	3	0	24	402	21	962	2193
ENSMUSG00000053640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000060424	0	0	0	58	1	1	11	0	0	0	0	0	0	0	27	1	0	23	0	0	0	0	0	0
ENSMUSG00000093778	0	0	0	9	0	0	3	0	0	0	0	0	0	0	7	1	0	4	0	0	0	0	0	0
ENSMUSG00000093436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
