GeneID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24
ENSMUSG00000026283	8	17	13	45	30	34	14	5	42	1	108	57	34	4	26	42	37	45	10	51	7	140	100	78
ENSMUSG00000073609	26	37	31	18	24	57	30	22	12	13	68	97	46	9	16	29	78	92	24	31	29	147	122	66
ENSMUSG00000034005	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
ENSMUSG00000056307	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0
ENSMUSG00000091067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000073608	0	0	0	0	9	0	0	0	0	0	1	0	2	0	0	18	1	0	0	0	0	3	0	0
ENSMUSG00000034000	0	0	0	20	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0
ENSMUSG00000026285	1	0	0	2	1	0	0	0	0	0	10	0	1	0	1	2	2	1	0	11	0	19	17	0
ENSMUSG00000091447	385	264	178	435	1025	445	253	55	96	33	115	852	1805	11	173	994	815	610	17	97	114	1046	1171	4402
ENSMUSG00000051185	533	844	246	3239	2137	1096	1015	104	161	119	241	3104	4227	14	2310	2123	1870	1505	29	339	516	3246	4929	5341
ENSMUSG00000081051	4	3	1	7	35	5	9	0	6	2	19	19	43	0	2	52	7	36	1	26	4	37	35	62
ENSMUSG00000040710	11	16	4	233	55	54	37	0	36	3	32	503	178	1	251	113	133	48	0	138	15	197	915	233
ENSMUSG00000077860	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3
